nebraska ,Week 1,Week 2,Week 3,Week 4,Week 5,Week 6,Week 7,Week 8,Week 9,Week 10,Week 11,Week 12,Week 13,Week 14,Week 15,Week 16,Week 17,Week 18,Week 19,Week 20,Week 21,Week 22,Week 23,Week 24,Week 25,Week 26,Week 27,Week 28,Week 29,Week 30,Week 31,Week 32,Week 33,Week 34,Week 35,Week 36,Week 37,Week 38,Week 39,Week 40,Week 41,Week 42,Week 43,Week 44,Week 45,Week 46,Week 47,Week 48,Week 49,Week 50,Week 51,Week 52,Week 53,sum 
2017,0,0,1,1,1,0,1,1,3,1,0,1,0,0,1,1,0,0,2,3,0,2,0,1,0,0,1,0,1,4,0,0,1,2,1,0,0,0,0,0,0,0,0,0,0,0,1,7,1,3,2,1,0,45
2016,6,5,8,5,3,3,3,3,1,1,3,1,3,3,2,3,1,5,3,2,3,2,0,1,4,1,1,0,1,3,0,3,0,0,0,0,2,0,0,0,0,1,3,2,2,0,1,2,0,0,3,1,0,100
2015,36,34,45,73,33,30,34,13,21,7,4,7,3,2,3,8,2,3,1,1,0,1,2,1,1,1,2,4,0,4,3,0,4,0,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,393
2014,9,5,3,4,4,6,4,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,2,2,3,5,7,14,8,18,9,20,34,32,28,20,243
2013,0,0,2,1,0,3,2,0,0,0,0,0,1,0,0,0,1,1,7,6,7,2,1,4,4,5,3,0,3,5,3,8,4,0,0,0,0,0,2,2,1,1,4,3,6,3,3,4,9,2,2,2,0,117
2012,0,1,0,0,0,2,1,0,1,0,0,0,0,0,0,2,3,2,1,2,3,1,5,7,4,1,6,5,4,3,9,7,1,3,4,4,2,2,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,90
2011,6,3,0,0,0,5,0,3,1,4,1,1,1,2,2,0,3,0,0,1,0,0,0,1,1,1,0,0,0,1,0,0,0,0,1,1,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,42
2010,3,1,2,0,1,2,0,0,0,2,0,1,1,2,4,0,2,2,1,5,4,0,1,6,1,5,8,7,7,6,7,11,7,7,3,8,4,3,4,3,4,7,2,5,6,2,2,1,2,0,1,0,0,163
2009,2,1,7,4,5,3,2,2,4,4,2,2,2,3,1,0,2,2,2,0,0,1,2,0,0,0,1,2,2,0,1,0,0,2,3,2,0,2,3,4,0,1,2,2,1,1,0,2,1,4,1,1,0,91
2008,1,2,0,2,0,2,0,1,1,1,0,0,0,3,1,1,2,0,2,0,1,1,4,1,1,4,2,4,0,0,0,4,1,4,2,2,8,2,3,0,0,0,7,0,24,22,12,3,12,11,13,1,2,170
2007,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,2,0,1,0,0,0,1,1,0,2,0,1,1,2,0,1,0,1,0,1,0,0,0,2,12,3,0,0,1,1,3,3,0,1,0,0,2,0,45
2006,0,0,0,1,2,1,0,0,2,0,1,0,0,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,3,1,0,0,0,2,0,1,0,1,2,2,2,0,1,3,1,1,0,4,0,1,1,0,37
2005,2,5,12,0,6,2,14,2,11,0,1,0,5,0,1,5,1,5,0,0,0,6,15,4,10,6,1,14,8,0,3,4,4,0,5,0,8,0,6,0,4,0,0,2,1,1,3,0,0,0,0,0,0,177
2004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,1,0,0,0,0,4,1,16,0,4,0,4,0,7,3,0,0,7,4,19,9,0,3,0,85
2003,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,2,3,0,0,0,0,0,12
2002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,9
2001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,5
2000,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,8,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,16
